Park,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Pinnacles,2003,7267,10790,20018,21773,23291,11470,14251,15107,12213,8310,10193,8108
Pinnacles,2002,10126,12676,17606,25193,19676,15570,9980,16742,11527,4869,11360,6941
Pinnacles,2001,9069,7374,34184,24291,20065,14268,13289,16880,12903,9335,9649,6936
Pinnacles,2000,10667,8961,16152,24995,16955,13136,16089,12379,11276,10909,10109,10482
Pinnacles,1999,10117,9200,15524,18961,23587,16894,14693,15025,9201,10825,10632,10195
Pinnacles,1998,5421,1321,0,13804,9952,10784,8580,9657,9232,8919,8564,8405
Pinnacles,1997,8811,14761,23466,31959,22640,17467,9309,12607,7165,9127,7789,6870
Pinnacles,1996,9717,11032,22615,25650,20378,16426,11601,11420,9256,9428,10163,6779
Pinnacles,1995,12967,14821,11939,27067,25110,19000,14511,13838,11819,12731,9083,4641
Pinnacles,1994,12223,9597,20332,25279,20456,15227,16579,12287,11364,11631,8705,8962
Pinnacles,1993,9712,12630,19762,30508,27184,15993,17815,16081,12869,12297,10537,9369
Pinnacles,1992,12669,12508,18743,29462,22828,16115,17518,15637,11151,12859,13108,9085
Pinnacles,1991,10319,16766,16941,24688,23169,17571,17373,18397,12525,11573,13992,9296
Pinnacles,1990,11673,15608,21376,31305,23353,18368,16608,17415,15905,14803,16577,11277
Pinnacles,1989,13620,15840,24709,29114,26102,16851,18344,17694,15735,12654,15061,12877
Pinnacles,1988,12413,21760,30493,27476,31458,16475,16774,15414,9968,9834,10274,9755
Pinnacles,1987,12161,16507,21086,29731,24655,18404,18456,18350,10659,11716,13934,9046
Pinnacles,1986,11272,10872,23814,25878,23638,15225,13615,17399,14875,14782,17060,9806
Pinnacles,1985,10851,17587,18180,28351,23477,14948,14951,15874,14441,14001,11513,7404
Pinnacles,1984,13419,15417,18729,22562,16967,12873,12765,13355,10940,12182,9438,7611
Pinnacles,1983,9118,12389,10526,22799,30895,15471,13856,13385,11533,13064,10324,7271
Pinnacles,1982,9520,12784,14832,21840,25116,15626,16215,13170,10731,13408,9667,8117
Pinnacles,1981,11131,12380,16013,20644,19742,9665,10813,13597,11123,11386,11397,7314
Pinnacles,1980,7908,10308,19466,21736,19442,13862,14053,12684,9135,11795,13003,10234
Pinnacles,1979,9581,14156,20937,24354,14832,9726,9823,8536,10842,12054,11277,7599
Redwood,2025,48394,41615,54640,66958,119782,222029,197051,166985,129138,77984,46862,31042
Redwood,2024,18772,21190,34687,45248,67073,85190,84702,72318,75387,51797,32140,34379
Redwood,2023,15304,19542,22212,32444,49794,55601,48652,45993,46687,40581,19835,12460
Redwood,2022,20630,20202,27390,34053,44887,59736,68544,60003,49954,38004,19904,15093
Redwood,2021,19790,19708,20645,24290,43346,53024,56573,58121,57927,38708,23828,19919
Redwood,2020,24128,21201,9079,5212,25258,29408,39126,38488,21343,21833,15981,14120
Redwood,2019,17129,17768,30938,33179,62796,76137,69750,55227,55568,42048,24430,19752
Redwood,2018,23502,16684,24118,32580,51464,70581,72787,57316,51968,35275,22477,23784
Redwood,2017,24830,16308,19301,32127,49170,59862,68427,51747,43677,31446,21096,27009
Redwood,2016,18194,18711,38638,42544,57045,72858,86244,63767,49344,46653,18915,23384
Redwood,2015,16051,30275,25597,39346,46980,69820,84987,65615,54037,36714,31566,26155
Redwood,2014,16096,9827,20955,28779,37871,48382,77247,62241,44474,37044,26882,19368
Redwood,2013,15542,13876,19426,29379,36734,50774,66804,60463,45089,22101,16059,17117
Redwood,2012,13949,13686,16802,24262,10834,42803,58407,56920,44049,31070,19684,20051
Redwood,2011,16364,12468,18385,19784,28613,50231,74527,54168,45916,33542,12248,13921
Redwood,2010,20500,13621,19051,25252,32892,56028,67234,70215,43030,35534,16390,19073
Redwood,2009,17078,16957,32644,29017,45772,63174,75108,57666,47505,23753,20681,15071
Redwood,2008,11585,15776,32329,32014,39308,53062,63712,53025,42411,20725,16505,16447
Redwood,2007,14472,10852,13897,26783,30488,54956,63493,63541,48081,24470,18068,16070
Redwood,2006,12674,13185,15747,25911,22586,45470,70327,82714,43661,25483,14121,11901
